U_st/V U_E/mV U_A/V
0.0    2      0.06
0.5    16     -1.67
1.0    33     -3.52
1.5    47     -5.06
2.0    64     -5.97
2.5    86     -6.00
3.0    113    -6.01
3.5    134    -6.02
4.0    154    -6.02
4.5    179    -6.03
5.0    199    -6.03
5.0    -193   7.37
4.5    -172   7.38
4.0    -151   7.38
3.5    -125   7.38
3.0    -103   7.38
2.5    -83    7.38
2.0    -63    6.93
1.5    -47    5.16
1.0    -33    3.64
0.5    -17    1.90
0.0    -1     0.06
