# f/kHz U_1 sweep/ Horiz U_2 sweep/ Horiz
100 	0.545 	0.000 	0.658 	0.000
200 	0.144 	0.023 	0.353 	0.023
300 	0.112 	0.032 	0.462 	0.032
400 	0.101 	0.040 	0.565 	0.040
500 	0.120 	0.048 	0.700 	0.048
600 	0.156 	0.055 	0.854 	0.055
700 	0.127 	0.064 	0.946 	0.064
800 	0.131 	0.073 	0.213 	0.103
900 	0.259 	0.076 	0.134 	0.118
1000 	0.189 	0.087 	0.333 	0.124
